geo_hash, rel_nfnv_prod_count,fnv_prod_count,prod_count,stores_count,sub_cat_count
tdr0uxs,317,166,2853,1,212
tdr0uxt,317,166,2853,1,212
tdr0uxu,317,166,2853,1,212
tdr0uxv,317,166,2853,1,212
tdr0uxw,317,166,2853,1,212
tdr0uxx,317,166,2853,1,212
tdr0uxy,317,166,2853,1,212
tdr0uxz,317,166,2853,1,212
tdr0uy0,317,166,2853,1,212
tdr0uy1,317,166,2853,1,212
tdr0uy2,317,166,2853,1,212
tdr0uy3,317,166,2853,1,212
tdr0uy4,317,166,2853,1,212
tdr0uy5,317,166,2853,1,212
tdr0uy6,317,166,2853,1,212
tdr0uy7,317,166,2853,1,212
tdr0uy8,317,166,2853,1,212
tdr0uy9,317,166,2853,1,212
tdr0uyb,317,166,2853,1,212
tdr0uyc,317,166,2853,1,212
tdr0uyd,317,166,2853,1,212
tdr0uye,317,166,2853,1,212
tdr0uyf,317,166,2853,1,212
tdr0uyg,317,166,2853,1,212
tdr0uyh,317,166,2853,1,212
tdr0uyj,317,166,2853,1,212
tdr0uyk,317,166,2853,1,212
tdr0uym,317,166,2853,1,212
tdr0uyn,317,166,2853,1,212
tdr0uyp,317,166,2853,1,212
tdr0uyq,317,166,2853,1,212
tdr0uyr,317,166,2853,1,212
tdr0uys,317,166,2853,1,212
tdr0uyt,317,166,2853,1,212
tdr0uyu,317,166,2853,1,212
tdr0uyv,317,166,2853,1,212
tdr0uyw,317,166,2853,1,212
tdr0uyx,317,166,2853,1,212
tdr0uyy,317,166,2853,1,212
tdr0uyz,317,166,2853,1,212
tdr0uz0,317,166,2853,1,212
tdr0uz1,317,166,2853,1,212
tdr0uz2,317,166,2853,1,212
tdr0uz3,317,166,2853,1,212
tdr0uz4,317,166,2853,1,212
tdr0uz5,317,166,2853,1,212
tdr0uz6,317,166,2853,1,212
tdr0uz7,317,166,2853,1,212
tdr0uz8,317,166,2853,1,212
tdr0uz9,317,166,2853,1,212
tdr0uzb,317,166,2853,1,212
tdr0uzc,317,166,2853,1,212
tdr0uzd,317,166,2853,1,212
tdr0uze,317,166,2853,1,212
tdr0uzf,317,166,2853,1,212
tdr0uzg,317,166,2853,1,212
tdr0uzh,317,166,2853,1,212
tdr0uzj,317,166,2853,1,212
tdr0uzk,317,166,2853,1,212
tdr0uzm,317,166,2853,1,212
tdr0uzn,317,166,2853,1,212
tdr0uzp,317,166,2853,1,212
tdr0uzq,317,166,2853,1,212
tdr0uzr,317,166,2853,1,212
tdr0uzs,317,166,2853,1,212
tdr0uzt,317,166,2853,1,212
tdr0uzu,317,166,2853,1,212
tdr0uzv,317,166,2853,1,212
tdr0uzw,317,166,2853,1,212
tdr0uzx,317,166,2853,1,212
tdr0uzy,317,166,2853,1,212
tdr0uzz,317,166,2853,1,212
tdr0vj0,317,166,2853,1,212
tdr0vj1,317,166,2853,1,212
tdr0vj2,317,166,2853,1,212
tdr0vj3,317,166,2853,1,212
tdr0vj4,317,166,2853,1,212
tdr0vj5,317,166,2853,1,212
tdr0vj6,317,166,2853,1,212
tdr0vj7,317,166,2853,1,212
tdr0vj8,317,166,2853,1,212
tdr0vj9,317,166,2853,1,212
tdr0vjb,317,166,2853,1,212
tdr0vjc,317,166,2853,1,212
tdr0vjd,317,166,2853,1,212
tdr0vje,317,166,2853,1,212
tdr0vjf,317,166,2853,1,212
tdr0vjg,317,166,2853,1,212
tdr0vjh,317,166,2853,1,212
tdr0vjj,317,166,2853,1,212
tdr0vjk,317,166,2853,1,212
tdr0vjm,317,166,2853,1,212
tdr0vjn,317,166,2853,1,212
tdr0vjp,317,166,2853,1,212
tdr0vjq,317,166,2853,1,212
