sub_cat_count,product_count,stores,stores_count
136,2544,100004-100098,2
145,3207,100032-100055,2
118,2247,100098-100109,2
131,3503,100100-100109,2
131,3503,100098-100100-100109,3
116,2077,100003-100042-100045-100098,4
146,3673,100003-100042-100098-100100,4
154,3651,100003-100045-100098-100100,4
78,1634,100043-100098,2
118,2247,100109,1
115,2073,100042-100045-100098,3
136,2544,100004,1
143,3599,100043-100100,2
142,3527,100052-100100,2
133,3616,100035-100098-100100,3
80,1841,100043-100052,2
82,1582,100053,1
149,2776,100031,1
167,4025,100031-100053,2
161,3923,100036-100051,2
161,3841,100036-100050,2
82,1802,100050-100052,2
82,1929,100050-100051-100052,3
82,1821,100052-100053,2
165,4003,100031-100052,2
147,3844,100055-100082,2
82,1880,100043-100050,2
81,1826,100051-100052,2
80,1860,100052-100055,2
137,4248,100082-100099,2
138,3834,100021,1
154,5033,100021-100052,2
150,4946,100004-100021,2
154,5705,100087-100099,2
147,5106,100029-100033,2
151,5128,100033-100104,2
146,3110,100032-100053,2
82,1665,100054,1
144,4559,100033,1
82,1899,100054-100055,2
136,3727,100099-100104,2
154,6161,100033-100099-100104,3
126,2770,100029-100104,2
130,3677,100029-100099,2
137,4424,100029-100099-100104,3
150,5767,100033-100099,2
102,1660,100029,1
80,1337,100104,1
7,12,100030,1
137,4330,100107,1
167,4118,100031-100055,2
84,1677,100030-100054,2
155,5499,100054-100107,2
139,3185,100029-100055,2
150,4170,100055-100099,2
82,1883,100053-100055,2
154,3876,100031-100032,2
146,3182,100032-100054,2
155,5099,100087-100104,2
160,6591,100033-100087,2
157,5651,100033-100055,2
150,3666,100004-100032,2
143,3087,100032-100052,2
109,2682,100055-100104,2
162,6224,100032-100054-100107,3
140,2742,100103,1
158,3928,100051-100103,2
82,1861,100053-100054,2
158,3845,100050-100103,2
77,2026,100086,1
140,2882,100028-100050,2
140,2969,100028-100051,2
99,3112,100050-100086,2
99,3199,100051-100086,2
159,3095,100078,1
171,4195,100053-100078,2
171,4947,100031-100078,2
130,3110,100028-100086,2
146,4105,100028-100050-100086,3
146,4195,100028-100051-100086,3
146,3192,100030-100032-100054,3
144,5129,100032-100107,2
166,4830,100004-100032-100052,3
167,4087,100031-100054,2
115,1573,100028,1
118,1726,100030-100032,2
161,6703,100033-100055-100099,3
