"product_id","vertical_id","bar_code","brand","name","variety","quantity","quantity_qualifier","packaged_quantity","packaged_quantity_qualifier","discount","expiry_date","frag_flav_scent","fulfillment_tag","offer_percentage","offer_text","offer_value","product_display_order","seed_seedless","seller_name","state","type_by_colour","type_by_organic","type_by_pesticide","type_by_state_of_product","type_of_packing","vat_pcnt","mrp","ola_selling_price","primary_category_path","secondary_category_path","image_url","product_status"
"FJCYN3FZVDVD","fruit",,,"Grapes","Sharad","1","Kg",,,,,,"Others",,,,"3","Seedless",,,,,,,,,"160","160","Fruits & Vegetables>Fresh Fruits>Others",,"http://iabfruits.com/images/gallery/grapes/black-seedless-grapes.jpg","current"
"VGTOJHO4FSAS","vegetable",,,"Parwal",,"500","gm",,,,,,"Other Vegetables",,,,"1",,,,,,,,,,"45","45","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://www.yededo.com/uploads/parwal1.jpg","current"
"FJC0P80GT902","fruit",,,"Plums",,"1","Kg",,,,,,"Exotic Fruits",,,,"2",,,,,,,,,,"449","449","Fruits & Vegetables>Fresh Fruits>Exotic Fruits",,"https://upload.wikimedia.org/wikipedia/commons/2/24/Red-Plums.jpg","current"
"FJCZF3EO3Y9O","fruit",,,"Grapes","Sharad","250","gm",,,,,,"Others",,,,"0","Seedless",,,,,,,,,"40","40","Fruits & Vegetables>Fresh Fruits>Others",,"http://iabfruits.com/images/gallery/grapes/black-seedless-grapes.jpg","current"
"VGTJP31481D1","vegetable",,,"Cucumber (kheera)","English","1","Kg","(8 to 10 pcs)",,,,,"Other Vegetables",,,,"2",,,,,,,,,,"78","78","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://sunselectproduce.com/wp-content/uploads/longenglish-product2.jpg","current"
"OVGEYFC0ZWAK","organic_vegetable",,,"Beans","Long","500","gm",,,,,,"Organic Vegetables",,,,"1",,,,,"Organic",,,,,"25","25","Fruits & Vegetables>Organic Vegetables",,"http://stickygooeycreamychewy.com/wp-content/uploads/2010/08/longbeansraw_thumb.jpg","current"
"CVGOZAGGXLTM","cut_vegetable",,,"Yam",,"250","gm",,,,,,"Cut Vegetables",,,,"0",,,,,,,"Sliced",,,"17.5","17.5","Fruits & Vegetables>Cut Vegetables",,"http://www.freezedriedfoodsuppliers.com/picture/freeze-dried-chinese-yam-slice.jpg","current"
"VGTK4OT584ED","vegetable",,,"Brinjal","Stripes","1","Kg","(8 to 10 pcs)",,,,,"Other Vegetables",,,,"2",,,,"Purple",,,,,,"44","44","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://portalvhds26k4f5tktj3ck.blob.core.windows.net/spotpics/sp28216.jpg","current"
"CVGTA4U4EAAX","cut_vegetable",,,"Beetroot",,"250","gm",,,,,,"Cut Vegetables",,,,"0",,,,,,,"Diced",,,"9","9","Fruits & Vegetables>Cut Vegetables",,"http://www.dollopandscoff.co.uk/wp-content/uploads/2015/02/Spiced-Beetroot-and-Orange-Chutney-diced-beetroot.jpg","current"
"CVG76PTIK2VG","cut_vegetable",,,"Capsicum",,"250","gm",,,,,,"Cut Vegetables",,,,"0",,,,,,,"Diced",,,"15","15","Fruits & Vegetables>Cut Vegetables",,"http://i1041.photobucket.com/albums/b419/vramadevan/Vaangibath/IMG_3623.jpg","current"
"FJCPTII5FS9F","fruit",,,"Tamarind (imli)","Sweet","1","Kg",,,,,,"Others",,,,"2",,,,,,,,,,"360","360","Fruits & Vegetables>Fresh Fruits>Others",,"http://www.pnkmarketing.com/pimg/p1828f11.jpg","current"
"CVGIUQAPJBHB","cut_vegetable",,,"Cucumber (kheera)","American","250","gm",,,,,,"Cut Vegetables",,,,"0",,,,,,,"Sliced",,,,,"Fruits & Vegetables>Cut Vegetables",,"http://www.foodsafetynews.com/files/2013/05/SlicedCucumberMain1.jpg","hidden"
"VGTZL1KHQNW1","vegetable",,,"Raw Banana",,"1","Kg","(5 to 6 pcs)",,,,,"Other Vegetables",,,,"2",,,,"Green",,,,,,"50","50","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSczJKvGtjv9slEKyVVNT5ZoXENAF9j71kSOFqdTE8eDsX53kS4","current"
"FJC35WTRGDUP","fruit",,,"Banana","Nendran","500","gm","(2 to 4 pcs)",,,,,"Banana",,,,"0",,,,,,,,,,"28","28","Fruits & Vegetables>Fresh Fruits>Banana",,"http://www.freshcave.com/wp-content/uploads/2014/07/Nendran.png","current"
"VGTM0J48KOLD","vegetable",,,"Drumstick",,"100","gm",,,,,,"Other Vegetables",,,,"1",,,,,,,,,,"8","8","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://alnooraniexports.com/admin/uploads/1388232481_sargvo.jpg","current"
"VGTKVSPB14RS","vegetable",,,"Beans","Cowpea","1","Kg",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"46","46","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://bigbasket.com/media/uploads/p/l/10000274_8-fresho-beans-cowpea.jpg","current"
