id,cluster_sub_cat_count,cluster_product_count,geo_product_count,geo_sub_cat_count,cluster_id,clusters_count
tdr1x89,146,4867,8412,172,100005-100038,23
tdr1x89,153,4658,8412,172,100005-100036,23
tdr1x88,146,4867,8412,172,100005-100038,26
tdr1x88,153,4658,8412,172,100005-100036,26
tdr1x87,146,4867,8412,172,100005-100038,23
tdr1x87,153,4658,8412,172,100005-100036,23
tdr1x86,146,4867,8412,172,100005-100038,23
tdr1x86,153,4658,8412,172,100005-100036,23
tdr1x85,146,4867,8412,172,100005-100038,23
tdr1x85,153,4658,8412,172,100005-100036,23
tdr1x8k,163,5642,8641,175,100005-100036-100041,28
tdr1x8k,146,4867,8641,175,100005-100038,28
tdr1x8j,163,5642,8641,175,100005-100036-100041,28
tdr1x8j,146,4867,8641,175,100005-100038,28
tdr1x5s,153,4955,8387,169,100034-100036,18
tdr1x5s,143,4397,8387,169,100005-100041,18
tdr1x65,146,4867,7956,170,100005-100038,20
tdr1x65,153,4658,7956,170,100005-100036,20
tdr1x64,146,4867,7956,170,100005-100038,20
tdr1x64,153,4658,7956,170,100005-100036,20
tdr1x63,146,4867,8387,169,100005-100038,18
tdr1x63,143,4397,8387,169,100005-100041,18
tdr1x62,153,4955,8387,169,100034-100036,19
tdr1x62,146,4867,8387,169,100005-100038,19
tdr1x61,146,4867,8387,169,100005-100038,19
tdr1x61,153,4658,8387,169,100005-100036,19
tdr1x60,146,4867,8387,169,100005-100038,19
tdr1x60,153,4658,8387,169,100005-100036,19
tdr1x5z,153,4955,7956,170,100034-100036,19
tdr1x5z,153,4658,7956,170,100005-100036,19
tdr1x6d,153,4955,7956,170,100034-100036,19
tdr1x6d,146,4867,7956,170,100005-100038,19
tdr1x6c,153,4955,7956,170,100034-100036,17
tdr1x6c,143,4397,7956,170,100005-100041,17
tdr1x6b,153,4955,8387,169,100034-100036,18
tdr1x6b,143,4397,8387,169,100005-100041,18
tdr1x69,153,4955,7956,170,100034-100036,19
tdr1x69,146,4867,7956,170,100005-100038,19
tdr1x68,153,4955,8387,169,100034-100036,19
tdr1x68,146,4867,8387,169,100005-100038,19
tdr1x67,146,4867,7956,170,100005-100038,19
tdr1x67,153,4658,7956,170,100005-100036,19
tdr1x66,146,4867,7956,170,100005-100038,19
tdr1x66,153,4658,7956,170,100005-100036,19
tdr1x6m,146,4867,7956,170,100005-100038,19
tdr1x6m,153,4658,7956,170,100005-100036,19
tdr1x6k,146,4867,7956,170,100005-100038,19
tdr1x6k,153,4658,7956,170,100005-100036,19
tdr1x6j,146,4867,7956,170,100005-100038,20
tdr1x6j,153,4658,7956,170,100005-100036,20
tdr1x6h,146,4867,7956,170,100005-100038,20
tdr1x6h,153,4658,7956,170,100005-100036,20
tdr1x6g,153,4955,7956,170,100034-100036,19
tdr1x6g,146,4867,7956,170,100005-100038,19
tdr1x6f,153,4955,7956,170,100034-100036,18
tdr1x6f,146,4867,7956,170,100005-100038,18
tdr1x6e,146,4867,7956,170,100005-100038,18
tdr1x6e,143,4397,7956,170,100005-100041,18
tdr1x6u,153,4955,7956,170,100034-100036,19
tdr1x6u,146,4867,7956,170,100005-100038,19
tdr1x6t,146,4867,7956,170,100005-100038,18
tdr1x6t,143,4397,7956,170,100005-100041,18
tdr1x6s,146,4867,7956,170,100005-100038,18
tdr1x6s,143,4397,7956,170,100005-100041,18
tdr1x8h,163,5642,8641,175,100005-100036-100041,28
tdr1x8h,146,4867,8641,175,100005-100038,28
tdr1x8g,146,4867,8412,172,100005-100038,23
tdr1x8g,153,4658,8412,172,100005-100036,23
tdr1x8f,146,4867,8412,172,100005-100038,23
tdr1x8f,153,4658,8412,172,100005-100036,23
tdr1x8e,146,4867,8412,172,100005-100038,23
tdr1x8e,153,4658,8412,172,100005-100036,23
tdr1x8d,146,4867,8412,172,100005-100038,23
tdr1x8d,153,4658,8412,172,100005-100036,23
tdr1x8t,163,5642,8641,175,100005-100036-100041,28
tdr1x8t,146,4867,8641,175,100005-100038,28
tdr1x8s,146,4867,8412,172,100005-100038,23
tdr1x8s,153,4658,8412,172,100005-100036,23
tdr1x8r,163,5642,8641,175,100005-100036-100041,28
tdr1x8r,146,4867,8641,175,100005-100038,28
tdr1x8q,163,5642,8641,175,100005-100036-100041,28
tdr1x8q,146,4867,8641,175,100005-100038,28
tdr1x8p,163,5642,8641,175,100005-100036-100041,28
tdr1x8p,146,4867,8641,175,100005-100038,28
tdr1x8n,163,5642,8641,175,100005-100036-100041,28
tdr1x8n,146,4867,8641,175,100005-100038,28
tdr1x8m,163,5642,8641,175,100005-100036-100041,28
tdr1x8m,146,4867,8641,175,100005-100038,28
tdr1x90,146,4867,7956,170,100005-100038,19
tdr1x90,153,4658,7956,170,100005-100036,19
tdr1x8z,163,5642,8641,175,100005-100036-100041,28
tdr1x8z,146,4867,8641,175,100005-100038,28
tdr1x8y,163,5642,8641,175,100005-100036-100041,28
tdr1x8y,146,4867,8641,175,100005-100038,28
tdr1x9b,146,4867,7956,170,100005-100038,21
tdr1x9b,153,4658,7956,170,100005-100036,21
tdr1x99,146,4867,7956,170,100005-100038,20
tdr1x99,153,4658,7956,170,100005-100036,20
tdr1x98,146,4867,7956,170,100005-100038,21
tdr1x98,153,4658,7956,170,100005-100036,21
tdr1x9j,163,5642,8710,173,100005-100036-100041,24
tdr1x9j,146,4867,8710,173,100005-100038,24
tdr1x9k,146,4867,8502,173,100005-100038,21
tdr1x9k,153,4658,8502,173,100005-100036,21
tdr1x9h,146,4867,8502,173,100005-100038,21
tdr1x9h,153,4658,8502,173,100005-100036,21
tdr1x9g,146,4867,7956,170,100005-100038,20
tdr1x9g,153,4658,7956,170,100005-100036,20
tdr1x9p,163,5642,8710,173,100005-100036-100041,24
tdr1x9p,146,4867,8710,173,100005-100038,24
tdr1x9t,163,5642,8710,173,100005-100036-100041,24
tdr1x9t,146,4867,8710,173,100005-100038,24
tdr1x9n,163,5642,8710,173,100005-100036-100041,24
tdr1x9n,146,4867,8710,173,100005-100038,24
tdr1x9s,146,4867,8502,173,100005-100038,21
tdr1x9s,153,4658,8502,173,100005-100036,21
tdr1x9m,163,5642,8710,173,100005-100036-100041,24
tdr1x9m,146,4867,8710,173,100005-100038,24
tdr1x9r,146,4867,8710,173,100005-100038,22
tdr1x9r,145,4819,8710,173,100006-100038,22
tdr1x9q,163,5642,8710,173,100005-100036-100041,24
tdr1x9q,146,4867,8710,173,100005-100038,24
tdr1xb0,163,5642,8641,175,100005-100036-100041,28
tdr1xb0,146,4867,8641,175,100005-100038,28
tdr1x8x,163,5642,8641,175,100005-100036-100041,28
tdr1x8x,146,4867,8641,175,100005-100038,28
tdr1x8w,163,5642,8641,175,100005-100036-100041,28
tdr1x8w,146,4867,8641,175,100005-100038,28
tdr1x8v,163,5642,8641,175,100005-100036-100041,28
tdr1x8v,146,4867,8641,175,100005-100038,28
tdr1x8u,146,4867,8412,172,100005-100038,23
tdr1x8u,153,4658,8412,172,100005-100036,23
tdr1x95,146,4867,8502,173,100005-100038,21
tdr1x95,153,4658,8502,173,100005-100036,21
